tau,FAR,FRR,metric
-0.08533713588485481,0.7699069286452948,0.008273009307135471,cosine
-0.0837664249781015,0.7678386763185109,0.008273009307135471,cosine
-0.08219571407134829,0.7647362978283351,0.008273009307135471,cosine
-0.08062500316459498,0.7621509824198552,0.008273009307135471,cosine
-0.07905429225784166,0.7600827300930714,0.008273009307135471,cosine
-0.07748358135108835,0.7538779731127198,0.008273009307135471,cosine
-0.07591287044433503,0.7487073422957601,0.008273009307135471,cosine
-0.07434215953758172,0.7440537745604964,0.008273009307135471,cosine
-0.0727714486308284,0.7378490175801448,0.008273009307135471,cosine
-0.07120073772407509,0.733195449844881,0.009307135470527405,cosine
-0.06963002681732178,0.7295760082730093,0.00982419855222337,cosine
-0.06805931591056846,0.7275077559462254,0.00982419855222337,cosine
-0.06648860500381515,0.7244053774560496,0.00982419855222337,cosine
-0.06491789409706183,0.7218200620475698,0.00982419855222337,cosine
-0.06334718319030852,0.7192347466390899,0.00982419855222337,cosine
-0.061776472283555206,0.7171664943123061,0.00982419855222337,cosine
-0.06020576137680189,0.7135470527404343,0.010341261633919338,cosine
-0.05863505047004858,0.7114788004136504,0.010341261633919338,cosine
-0.05706433956329526,0.7063081695966908,0.010341261633919338,cosine
-0.05549362865654195,0.6995863495346433,0.010858324715615306,cosine
-0.053922917749788635,0.6959669079627715,0.010858324715615306,cosine
-0.05235220684303532,0.6928645294725957,0.010858324715615306,cosine
-0.050781495936282006,0.687693898655636,0.011375387797311272,cosine
-0.04921078502952869,0.6840744570837642,0.012409513960703205,cosine
-0.04764007412277538,0.6799379524301965,0.012409513960703205,cosine
-0.04606936321602206,0.6758014477766288,0.012926577042399173,cosine
-0.04449865230926875,0.6695966907962771,0.012926577042399173,cosine
-0.042927941402515435,0.6664943123061013,0.012926577042399173,cosine
-0.04135723049576212,0.6639089968976215,0.01344364012409514,cosine
-0.039786519589008806,0.6592554291623578,0.01344364012409514,cosine
-0.03821580868225549,0.656153050672182,0.01344364012409514,cosine
-0.03664509777550218,0.6499482936918304,0.01344364012409514,cosine
-0.035074386868748864,0.6463288521199586,0.013960703205791106,cosine
-0.03350367596199555,0.6421923474663909,0.013960703205791106,cosine
-0.031932965055242235,0.640124095139607,0.013960703205791106,cosine
-0.03036225414848892,0.6359875904860393,0.013960703205791106,cosine
-0.028791543241735718,0.6344364012409514,0.014477766287487074,cosine
-0.027220832334982403,0.6302998965873836,0.016028955532574975,cosine
-0.02565012142822909,0.6261633919338159,0.016028955532574975,cosine
-0.024079410521475775,0.6225439503619442,0.016546018614270942,cosine
-0.02250869961472246,0.6189245087900724,0.016546018614270942,cosine
-0.020937988707969146,0.6142709410548087,0.017063081695966906,cosine
-0.019367277801215832,0.610651499482937,0.017063081695966906,cosine
-0.017796566894462518,0.6080661840744571,0.017580144777662874,cosine
-0.016225855987709203,0.6044467425025853,0.017580144777662874,cosine
-0.01465514508095589,0.5997931747673216,0.017580144777662874,cosine
-0.013084434174202575,0.5982419855222337,0.017580144777662874,cosine
-0.01151372326744926,0.5930713547052741,0.017580144777662874,cosine
-0.009943012360695946,0.5899689762150983,0.017580144777662874,cosine
-0.008372301453942632,0.5858324715615305,0.017580144777662874,cosine
-0.006801590547189318,0.5837642192347466,0.017580144777662874,cosine
-0.005230879640436004,0.5806618407445708,0.017580144777662874,cosine
-0.0036601687336826894,0.578076525336091,0.017580144777662874,cosine
-0.002089457826929375,0.5734229576008273,0.017580144777662874,cosine
-0.0005187469201760608,0.5687693898655636,0.017580144777662874,cosine
0.0010519639865772534,0.5630816959669079,0.017580144777662874,cosine
0.0026226748933305677,0.5573940020682523,0.017580144777662874,cosine
0.004193385800083882,0.5537745604963805,0.01809720785935884,cosine
0.005764096706837196,0.5506721820062047,0.01861427094105481,cosine
0.0073348076135905105,0.5444674250258531,0.01861427094105481,cosine
0.008905518520343825,0.5408479834539814,0.01861427094105481,cosine
0.010476229427097139,0.5351602895553258,0.01861427094105481,cosine
0.012046940333850453,0.53205791106515,0.019131334022750777,cosine
0.013617651240603768,0.5294725956566702,0.019131334022750777,cosine
0.015188362147357082,0.5237849017580145,0.019131334022750777,cosine
0.016759073054110396,0.5196483971044468,0.019131334022750777,cosine
0.01832978396086371,0.5129265770423992,0.019131334022750777,cosine
0.019900494867617025,0.5103412616339194,0.01964839710444674,cosine
0.02147120577437034,0.5067218200620476,0.01964839710444674,cosine
0.023041916681123653,0.5025853154084798,0.02016546018614271,cosine
0.024612627587876856,0.4984488107549121,0.02016546018614271,cosine
0.02618333849463017,0.4953464322647363,0.02016546018614271,cosine
0.027754049401383485,0.4886246122026887,0.02016546018614271,cosine
0.0293247603081368,0.4855222337125129,0.02016546018614271,cosine
0.030895471214890113,0.4808686659772492,0.02016546018614271,cosine
0.03246618212164343,0.4793174767321613,0.02016546018614271,cosine
0.03403689302839674,0.4756980351602896,0.02016546018614271,cosine
0.035607603935150056,0.4705274043433299,0.020682523267838676,cosine
0.03717831484190337,0.46690796277145813,0.021199586349534644,cosine
0.038749025748656685,0.4622543950361944,0.022233712512926575,cosine
0.04031973665541,0.4581178903826267,0.022233712512926575,cosine
0.04189044756216331,0.4544984488107549,0.022233712512926575,cosine
0.04346115846891663,0.44881075491209926,0.022233712512926575,cosine
0.04503186937566994,0.4420889348500517,0.022233712512926575,cosine
0.046602580282423256,0.4389865563598759,0.022233712512926575,cosine
0.04817329118917657,0.4348500517063082,0.022233712512926575,cosine
0.049744002095929885,0.4296794208893485,0.022233712512926575,cosine
0.0513147130026832,0.42450879007238884,0.022233712512926575,cosine
0.05288542390943651,0.421923474663909,0.022233712512926575,cosine
0.05445613481618983,0.41830403309203723,0.022233712512926575,cosine
0.05602684572294314,0.4120992761116856,0.02326783867631851,cosine
0.057597556629696456,0.4074457083764219,0.02326783867631851,cosine
0.05916826753644977,0.4027921406411582,0.02326783867631851,cosine
0.060738978443203084,0.3981385729058945,0.02326783867631851,cosine
0.0623096893499564,0.3965873836608066,0.02326783867631851,cosine
0.06388040025670971,0.3940020682523268,0.02326783867631851,cosine
0.06545111116346303,0.38831437435367117,0.02326783867631851,cosine
0.06702182207021634,0.38521199586349536,0.02326783867631851,cosine
0.06859253297696966,0.38210961737331955,0.023784901758014478,cosine
0.07016324388372297,0.3779731127197518,0.024301964839710446,cosine
0.07173395479047628,0.3764219234746639,0.024301964839710446,cosine
0.0733046656972296,0.37280248190279214,0.024301964839710446,cosine
0.07487537660398291,0.3686659772492244,0.02481902792140641,cosine
0.07644608751073623,0.3640124095139607,0.02481902792140641,cosine
0.07801679841748943,0.36142709410548085,0.02481902792140641,cosine
0.07958750932424274,0.35832471561530505,0.025336091003102378,cosine
0.08115822023099606,0.35470527404343327,0.025853154084798345,cosine
0.08272893113774937,0.3531540847983454,0.025853154084798345,cosine
0.08429964204450269,0.3485005170630817,0.025853154084798345,cosine
0.085870352951256,0.34488107549120994,0.025853154084798345,cosine
0.08744106385800932,0.34177869700103414,0.026370217166494313,cosine
0.08901177476476263,0.33867631851085833,0.026370217166494313,cosine
0.09058248567151594,0.3355739400206825,0.026370217166494313,cosine
0.09215319657826926,0.3314374353671148,0.026370217166494313,cosine
0.09372390748502257,0.32885211995863495,0.026370217166494313,cosine
0.09529461839177589,0.3247156153050672,0.026370217166494313,cosine
